ID;Correct_Word;Error_Word;Damerau-Lenventein_Distance;Correct_Word_Freq;Error_Word_ Freq;Correct_Word_Lenght;Error_Word_Lenght;Error_postion;Syllable_Error_position;Correct-word-syllables;correct_syllable;Error_Type;Real_World_Error;First-Letter;Last-Letter;Correct_Letter;Error_Letter;Mirror_correct_letter;Mirror_error_letter;Rotation_correct_letter;Rotation_error_letter;Fuzzy_correct_letters;Fuzzy_error_letter;Error_Phonetic_Feature;;;;;;;;;;;;;;;;;;;;;
135;schluckt;Schluckt;1;790;790;8;8;1;1;1;CCCCV;no_capital_letter;YES;YES;NO;s;S;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
136;schluckt;schlukt;1;790;2.88;8;7;6;2;2;CCC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;derivation;;;;;;;;;;;;;;;;;;;;;
137;beginnt;Begint;2;55.100.000;150;7;6;-;-;-;-;multierror;NO;YES;NO;"b;n";B;"Y;Y";N;"Y;N";N;"Y;Y";N;"sound_distinction;double_conconant";;;;;;;;;;;;;;;;;;;;;
138;beginnt;Beginnt;1;55.100.000;55.100.000;7;7;1;1;1;CV;no_capital_letter;NO;YES;NO;b;B;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
139;beginnt;begint;1;55.100.000;878;7;6;6;2;2;CVC;omission;NO;NO;NO;n;-;Y;N;N;N;Y;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
140;klirrt;Klirt;2;70.6;2.54;6;5;-;-;-;-;multierror;NO;YES;NO;"k;r";K;"N;N";N;"N;N";N;"N;N";N;"sound_distinction;double_conconant";;;;;;;;;;;;;;;;;;;;;
141;klirrt;Klirrt;1;70.6;70.6;6;6;1;1;1;CCVCCC;no_capital_letter;NO;YES;NO;k;K;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
142;klirrt;klirt;1;70.6;2.54;6;5;5;1;1;CCVCCC;omission;NO;NO;NO;r;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
143;gleich;Gleich;1;163.000.000;163.000.000;6;6;1;1;1;CCVVCC;no_capital_letter;NO;YES;NO;g;G;N;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
144;Suppe;Supe;1;12.600.000;287;5;4;3;1;1;CVC;omission;NO;NO;NO;p;-;Y;N;Y;N;Y;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
145;bleibt;Bleibt;1;116.000.000;116.000.000;6;6;1;1;1;CCVVCC;no_capital_letter;NO;YES;NO;b;B;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
146;braucht;Braucht;1;61.600.000;61.600.000;7;7;1;1;1;CCVV;no_capital_letter;NO;YES;NO;b;B;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
147;sein;Sein;1;589.000.000;589.000.000;4;4;1;1;1;CVVC;no_capital_letter;NO;YES;NO;s;S;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
148;gestochen;Gestochehn;2;471;2;9;10;-;-;-;-;multierror;NO;YES;NO;"g;";"G;h";N;"N;N";Y;"N;Y";Y;"N;Y";sound_distinction;;;;;;;;;;;;;;;;;;;;;
149;gestochen;Gestochen;1;471;471;9;9;1;1;1;CV;no_capital_letter;NO;YES;NO;g;G;N;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
150;gestochen;gestochehn;1;471;2;9;10;9;3;2;CCVC;addition;NO;NO;NO;-;h;N;N;N;Y;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
151;Môcke;Môckeh;1;556;44;5;6;6;2;2;CCV;addition;NO;NO;YES;-;h;N;N;N;Y;N;Y;sound_sequence;;;;;;;;;;;;;;;;;;;;;
152;schwimmen;schwômmen;1;20.000.000;795;9;9;5;1;1;CCCCV;substitution;NO;NO;NO;i;ô;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
153;w_rmer;wermer;1;3.100.000;23.3;6;6;2;1;1;CVCCVC;substitution;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
154;Kalb;Kalpp;2;554;1.51;4;5;-;-;-;-;multierror;NO;NO;YES;b;"p;p";Y;"Y;Y";Y;"Y;Y";Y;"Y;Y";sound_sequence;;;;;;;;;;;;;;;;;;;;;
155;Kalb;Kalp;1;554;103;4;4;4;1;1;CVCC;substitution;NO;NO;YES;b;p;Y;Y;Y;Y;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
156;Kalb;Kalbp;1;554;334;4;5;5;1;1;CVCC;addition;NO;NO;YES;-;p;N;Y;N;Y;N;Y;sound_sequence;;;;;;;;;;;;;;;;;;;;;
157;streiche;Streiche;1;505;505;8;8;1;1;1;CCCVV;no_capital_letter;NO;YES;NO;s;S;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
158;fliegt;Fligt;2;7.300.000;18;6;5;-;-;-;-;multierror;NO;YES;NO;"f;e";F;"N;N";N;"N;N";N;"N;N";N;lengthening;;;;;;;;;;;;;;;;;;;;;
159;fliegt;Fliegt;1;7.300.000;7.300.000;6;6;1;1;1;CCVV;no_capital_letter;NO;YES;NO;f;F;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
160;fliegt;fligt;1;7.300.000;18;6;5;4;1;1;CCVV;omission;NO;NO;NO;e;-;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
161;steigen;Steigen;1;16.500.000;16.500.000;7;7;1;1;1;CCVV;no_capital_letter;NO;YES;NO;s;S;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
162;tr_gt;Tregt;2;64.300.000;27.4;5;5;-;-;-;-;multierror;NO;YES;NO;"t;_";"T;e";"N;N";"N;N";"N;N";"N;N";"N;Y";"N;N";sound_distinction;;;;;;;;;;;;;;;;;;;;;
163;tr_gt;Tr_gt;1;64.300.000;64.300.000;5;5;1;1;1;CCV;no_capital_letter;NO;YES;NO;t;T;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
164;tr_gt;tregt;1;64.300.000;27.4;5;5;3;1;1;CCV;substitution;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
165;dicker;Dicker;1;10.700.000;10.700.000;6;6;1;1;1;CVCCVC;no_capital_letter;NO;YES;NO;d;D;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
166;stopfen;Stopfen;1;448;448;7;7;1;1;1;CCVC;no_capital_letter;YES;YES;NO;s;S;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
167;Kind;Kint;1;250.000.000;146;4;4;4;1;1;CVCC;substitution;NO;NO;YES;d;t;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
168;Mutter;Moter;2;86.500.000;139;6;5;-;-;-;-;multierror;NO;NO;NO;"u;t";o;"Y;N";N;"N;N";N;"Y;N";Y;-;;;;;;;;;;;;;;;;;;;;;
169;Mutter;Motter;1;86.500.000;66.7;6;6;2;1;1;CVC;substitution;NO;NO;NO;u;o;Y;N;N;N;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
170;Mutter;Muter;1;86.500.000;227;6;5;3;1;1;CVC;omission;NO;NO;NO;t;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
171;Vater;Fater;1;59.000.000;589;5;5;1;1;1;CV;substitution;NO;YES;NO;V;F;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
172;Katze;Kaze;1;25.100.000;335;5;4;3;1;1;CVC;omission;NO;NO;NO;t;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
173;h_ren;H_ren;1;49.600.000;49.600.000;5;5;1;1;1;CV;no_capital_letter;NO;YES;NO;h;H;N;Y;Y;Y;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
174;sprechen;Sprechen;1;47.100.000;47.100.000;8;8;1;1;1;CCCV;no_capital_letter;NO;YES;NO;s;S;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
175;sprechen;scprechen;1;47.100.000;947;8;9;2;1;1;CCCV;addition;NO;NO;NO;-;c;N;N;N;N;N;N;consonants_combination;;;;;;;;;;;;;;;;;;;;;
176;sprechen;shprechen;1;47.100.000;265;8;9;2;1;1;CCCV;addition;NO;NO;NO;-;h;N;N;N;Y;N;Y;consonants_combination;;;;;;;;;;;;;;;;;;;;;
177;trocken;Troken;2;24.700.000;32.7;7;6;-;-;-;-;multierror;NO;YES;NO;"t;c";T;"N;N";N;"N;N";N;"N;N";N;consonants_combination;;;;;;;;;;;;;;;;;;;;;
178;trocken;Trocken;1;24.700.000;24.700.000;7;7;1;1;1;CCV;no_capital_letter;NO;YES;NO;t;T;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
179;trocken;troken;1;24.700.000;32.7;7;6;4;2;2;CCVC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
180;Menschen;menschen;1;194.000.000;194.000.000;8;8;1;1;1;CVCCCCVC;capital_letter;NO;YES;NO;M;m;N;Y;N;N;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
181;Spiel;Scpiel;1;112.000.000;1.76;5;6;2;1;1;CCVVC;addition;NO;NO;NO;-;c;N;N;N;N;N;N;consonants_combination;;;;;;;;;;;;;;;;;;;;;
182;Spiel;Shpiel;1;112.000.000;1.39;5;6;2;1;1;CCVVC;addition;NO;NO;NO;-;h;N;N;N;Y;N;Y;consonants_combination;;;;;;;;;;;;;;;;;;;;;
183;Spiel;Spil;1;112.000.000;356;5;4;4;1;1;CCVVC;omission;NO;NO;NO;e;-;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
184;Spiel;Spieln;1;112.000.000;19;5;6;5;1;1;CCVVC;addition;NO;NO;YES;-;n;N;Y;N;N;N;Y;sound_sequence;;;;;;;;;;;;;;;;;;;;;
185;Spiele;spiele;1;113.000.000;113.000.000;6;6;1;1;1;CCVVCV;capital_letter;NO;YES;NO;S;s;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
186;laufen;Laufen;1;55.300.000;55.300.000;6;6;1;1;1;CVV;no_capital_letter;NO;YES;NO;l;L;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
187;Platz;Plas;2;149.000.000;406;5;4;-;-;-;-;multierror;NO;NO;NO;"t;z";s;"N;N";N;"N;N";N;"N;N";N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
188;Platz;Plats;1;149.000.000;383;5;5;5;1;1;CCVCC;substitution;NO;NO;YES;z;s;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
189;Platz;Plazs;2;149.000.000;1.71;5;5;5;1;1;CCVCC;substitution;NO;NO;YES;t;s;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
190;pfeift;Pfeift;1;551;551;6;6;1;1;1;CCVVCC;no_capital_letter;NO;YES;NO;p;P;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
191;gut;Gut;1;445.000.000;445.000.000;3;3;1;1;1;CVC;no_capital_letter;YES;YES;NO;g;G;N;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
192;klatschen;Klaschen;2;446;2.15;9;8;-;-;-;-;multierror;NO;YES;NO;"k;t";K;"N;N";N;"N;N";N;"N;N";N;"sound_distinction;sound_distinction";;;;;;;;;;;;;;;;;;;;;
193;klatschen;Klatschen;1;446;446;9;9;1;1;1;CCVC;no_capital_letter;NO;YES;NO;k;K;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
194;klatschen;klaschen;1;446;2.15;9;8;4;1;1;CCVC;omission;NO;NO;NO;t;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
195;Ballstaffeln;Ball stafeln;2;273;413;12;12;-;-;-;-;multierror;NO;NO;NO;"/;f";_;"N;N";N;"N;N";N;"N;N";N;-;;;;;;;;;;;;;;;;;;;;;
196;Ballstaffeln;Ball staffeln;1;273;413;12;13;-;-;-;-;split_in;NO;NO;NO;/;_;N;N;N;N;N;N;-;;;;;;;;;;;;;;;;;;;;;
197;Ballstaffeln;Ballstafeln;1;273;0;12;11;8;2;2;CCVC;omission;NO;NO;NO;f;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
198;Ball;Bal;1;68.900.000;1.820.000;4;3;4;1;1;CVCC;omission;NO;NO;YES;l;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
199;B_lle;Balle;1;8.580.000;391;5;5;2;1;1;CVCCV;substitution;NO;NO;NO;_;a;N;N;N;N;Y;Y;sound_sequence;;;;;;;;;;;;;;;;;;;;;
200;fliegt;Flkt;4;7.240.000;29.9;6;4;-;-;-;-;multierror;NO;YES;NO;"f;i;e";"F;k";"N;N;N";"N;N";"N;N;N";"N;N";"N;N;N";"N;N";"sound_distinction;lengthening";;;;;;;;;;;;;;;;;;;;;
201;fliegt;Fliegt;1;7.240.000;7.240.000;6;6;1;1;1;CCVV;no_capital_letter;NO;YES;NO;f;F;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
202;fliegt;flegt;1;7.240.000;53.8;6;5;3;1;1;CCVV;omission;YES;NO;NO;i;-;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
203;fliegt;fligt;1;7.240.000;17.9;6;5;4;1;1;CCVV;omission;NO;NO;NO;e;-;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
204;Tor;Toar;1;108.000.000;316;3;4;3;1;1;CVC;addition;NO;NO;NO;-;a;N;N;N;N;N;Y;sound_sequence;;;;;;;;;;;;;;;;;;;;;
205;H_nde;h_nde;1;38.300.000;38.300.000;5;5;1;1;1;CVCCV;capital_letter;NO;YES;NO;H;h;Y;N;Y;Y;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;consonant
206;dunklen;dunkelen;1;11.800.000;76.1;7;8;5;2;2;CCVC;addition;NO;NO;NO;-;e;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;vowel
207;darunter;darunte;1;3.210.000;18.2;8;7;8;3;3;CVC;omission;NO;NO;YES;-;r;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;consonant
208;Laugengeb_ck;laugengebeck;2;165;32;12;12;-;-;-;-;multierror;NO;YES;NO;"L;_";"l;e";"N;N";"N;N";"N;N";"N;N";"N;Y";"N;N";sound_distinction;;;;;;;;;;;;;;;;;;;;;
209;Laugengeb_ck;Laugengebeck;1;165;32;12;12;10;4;4;CVCC;substitution;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
210;Laugengeb_ck;laugengeb_ck;1;165;165;12;12;1;1;1;CVV;capital_letter;NO;YES;NO;L;l;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
211;hungrig;Hunrig;2;635;5.79;7;6;-;-;-;-;multierror;NO;YES;NO;"h;g";H;"N;N";Y;"Y;Y";Y;"Y;Y";N;"sound_distinction;sound_distinction";;;;;;;;;;;;;;;;;;;;;
212;hungrig;Hungrig;1;635;635;7;7;1;1;1;CVCC;capital_letter;NO;YES;NO;H;h;Y;N;Y;Y;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
213;hungrig;hunrig;1;635;5.79;7;6;4;1;1;CVCC;omission;NO;NO;NO;g;-;N;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
214;_ngstlich;ónstlich;2;584;6.14;9;8;-;-;-;-;multierror;NO;NO;NO;"_;g";ó;"N;N";N;"N;Y";N;"Y;Y";N;"sound_distinction;sound_distinction";;;;;;;;;;;;;;;;;;;;;
215;_ngstlich;óngstlich;1;584;584;9;9;1;1;1;VCCCC;capital_letter;NO;YES;NO;_;ó;N;N;N;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
216;_ngstlich;_nstlich;1;584;6.14;9;8;3;1;1;VCCCC;omission;NO;NO;NO;g;-;N;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
217;freundlich;freunlich;1;28.500.000;22.2;10;9;6;1;1;CCVVCC;omission;NO;NO;NO;d;-;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
218;_ngstlich;_nkstlich;1;584;31;9;9;3;1;1;VCCCC;substitution;NO;NO;NO;g;k;N;N;Y;N;Y;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
219;schmutzig;schmuzig;1;618;131;9;8;6;1;1;CCCCVC;omission;NO;NO;NO;t;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
220;j_hrlich;jehrlich;1;18.400.000;3.83;8;8;2;1;1;CVCC;omission;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
221;Ketten;keten;2;18.000.000;153;6;5;-;-;-;-;multierror;NO;YES;NO;"K;t";k;"N;N";N;"N;N";N;"N;N";N;"sound_distinction;sound_distinction";;;;;;;;;;;;;;;;;;;;;
222;Ketten;Keten;1;18.000.000;153;6;5;3;1;1;CVC;omission;NO;NO;NO;t;t;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
223;Ketten;ketten;1;18.000.000;18.000.000;6;6;1;1;1;CVC;capital_letter;Yes;YES;NO;K;k;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
224;versteckte;ferstekte;2;8.290.000;1.22;10;9;-;-;-;-;multierror;NO;YES;NO;"v;c";f;"Y;N";N;"N;N";N;"Y;N";N;"v_word;sound_distinction";;;;;;;;;;;;;;;;;;;;;
225;versteckte;fersteckte;1;8.290.000;771;10;10;1;1;1;CVC;substitution;NO;YES;NO;v;f;Y;N;N;N;Y;N;v_word;;;;;;;;;;;;;;;;;;;;;
226;versteckte;verstekte;1;8.290.000;9.01;10;9;7;2;2;CCVCCC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
227;schnell;schnel;1;185.000.000;422;7;6;7;1;1;CCCCVCC;omission;NO;NO;YES;l;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
228;legten;leckten;2;5.600.000;68.9;6;7;-;-;-;-;multierror;YES;NO;NO;g;"c;k";N;"N;N";Y;"N;N";Y;"N;N";sound_sequence;;;;;;;;;;;;;;;;;;;;;
229;legten;lecten;1;5.600.000;5.63;6;6;3;2;2;CCVC;substitution;NO;NO;NO;g;c;N;N;Y;N;Y;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
230;legten;lekten;1;5.600.000;11.1;6;6;3;2;2;CCVC;substitution;NO;NO;NO;g;k;N;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
231;schlafen;schllafen;1;23.000.000;739;8;9;4;1;1;CCCCVCVC;addition;NO;NO;NO;-;l;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
232;glatt;glat;1;19.700.000;137;5;4;5;1;1;CCVCC;omission;NO;NO;YES;t;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
233;zufrieden;zufriden;1;41.900.000;69.3;9;8;6;2;2;CCVV;omission;NO;NO;NO;e;-;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
234;dick;dieck;1;29.000.000;216;4;5;3;1;1;CVVCC;addition;NO;NO;NO;-;e;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
235;rund;runt;1;167.000.000;289;4;4;4;1;1;CVCC;substitution;NO;NO;YES;d;t;Y;N;Y;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
236;hôbsches;hôpsches;1;553;14.2;8;8;3;1;1;CVCCCCVC;substitution;NO;NO;NO;b;p;Y;Y;Y;Y;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
237;Kohlenkeller;Kolenkeler;2;50.5;0;12;10;-;-;-;-;multierror;NO;NO;NO;"h;l";-;"N;N";N;"Y;N";N;"Y;N";N;"sound_distinction;double_consonants";;;;;;;;;;;;;;;;;;;;;
238;Kohlenkeller;Kolenkeller;1;50.5;4;12;11;3;1;1;CVC;omission;NO;NO;NO;h;-;N;N;Y;N;Y;N;lengthening;;;;;;;;;;;;;;;;;;;;;
239;Kohlenkeller;Kohlenkeler;1;50.5;4;12;11;9;3;3;CVC;omission;NO;NO;NO;l;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
240;netten;neten;1;12.800.000;462;6;5;3;1;1;CVCCVC;omission;NO;NO;NO;t;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
241;Gespenster;Gesbenster;1;524;100;10;10;4;2;2;CCVC;substitution;NO;NO;NO;p;b;Y;Y;Y;Y;Y;Y;sound_sequence;;;;;;;;;;;;;;;;;;;;;
242;blitzen;blizten;1;356;2.55;8;7;"4;6";-;-;-;transposition;NO;NO;NO;t-z;z-t;"N;N";"N;N";"N;N";"N;N";"N;N";"N;N";-;;;;;;;;;;;;;;;;;;;;;
243;erz_hlten;erz_lten;1;409;4.8;9;8;5;2;2;CVC;omission;NO;NO;NO;h;-;N;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
244;Gruselgeschichten;Grusegschichten;2;194;0;17;15;"6;8";"2;3";"2;3";"CVC;CV";multierror;NO;NO;NO;"l;e";-;"N;N";N;"N;N";N;"N;N";N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
245;Gruselgeschichten;Grusegeschichten;1;194;54;17;16;6;2;2;CVC;omission;NO;NO;NO;l;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
246;Gruselgeschichten;Gruselgschichten;1;194;372;17;16;8;3;3;CV;omission;NO;NO;NO;e;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
247;lebte;lepte;1;7.510.000;4.51;5;5;3;2;2;CCV;substitution;NO;NO;NO;b;p;Y;Y;Y;Y;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
248;Mitternacht;miternacht;2;20.900.000;3.77;11;10;"1;3";1;1;CVC;multierror;NO;YES;NO;"M;t";m;"N;N";Y;"N;N";N;"N;N";Y;"sound_distinction;sound_distinction";;;;;;;;;;;;;;;;;;;;;
249;Mitternacht;mitternacht;1;20.900.000;20.900.000;11;11;1;1;1;CVC;capital_letter;NO;YES;NO;M;m;N;Y;N;N;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
250;Mitternacht;Miternacht;1;20.900.000;3.77;11;10;3;1;1;CVC;omission;NO;NO;NO;t;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
251;jetzt;jetz;1;554.000.000;646;5;4;5;1;1;CVCCC;omission;NO;NO;YES;t;-;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
252;versteckten;ferstkten;3;3.250.000;0;11;9;-;-;-;-;multierror;NO;YES;NO;"v;e;c";f;"Y;N;N";N;"N;N;N";N;"Y;N;N";N;"v_word;sound_distinction";;;;;;;;;;;;;;;;;;;;;
253;versteckten;fersteckten;1;3.250.000;298;11;11;1;1;1;CVC;substitution;NO;YES;NO;v;f;Y;N;N;N;Y;N;v_word;;;;;;;;;;;;;;;;;;;;;
254;versteckten;verstckten;1;3.250.000;1.31;11;10;6;2;2;CCV;omission;NO;NO;NO;e;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
255;versteckten;verstekten;1;3.250.000;10.6;11;10;7;3;3;CCVC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
256;ihrem;iren;2;233.000.000;495;5;4;-;-;-;-;multierror;NO;NO;YES;"h;m";n;"N;Y";Y;"Y;N";N;"Y;Y";Y;"sound_distinction;sound_distinction";;;;;;;;;;;;;;;;;;;;;
257;ihrem;irem;1;233.000.000;312;5;4;2;1;1;VCCVC;omission;NO;NO;NO;h;-;N;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
258;ihrem;ihren;1;233.000.000;343.000.000;5;5;5;1;2;VCCVC;substitution;NO;NO;YES;m;n;Y;Y;N;N;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
259;liest;list;1;16.300.000;167.000.000;5;4;3;1;1;CVVCC;omission;NO;NO;NO;-;e;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
260;liebsten;lipsten;2;19.000.000;505;8;7;-;-;-;-;multierror;NO;NO;NO;"e;b";p;"N;Y";Y;"N;Y";Y;"N;Y";Y;"lengthening;sound_distinction";;;;;;;;;;;;;;;;;;;;;
261;liebsten;libsten;1;19.000.000;7.84;8;7;3;1;1;CVV;omission;NO;NO;NO;e;-;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
262;liebsten;liepsten;1;19.000.000;3.15;8;8;4;2;2;CCCVC;substitution;NO;NO;NO;b;p;Y;Y;Y;Y;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
263;G_nge;Genge;1;7.490.000;79;5;5;2;1;1;CVCCV;substitution;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
264;Buckel;bukel;2;584;4.79;6;5;-;-;-;-;multierror;NO;YES;NO;"B;c";b;"N;N";Y;"N;N";Y;"N;N";Y;"sound_distinction;sound_distinction";;;;;;;;;;;;;;;;;;;;;
265;Buckel;Bukel;1;584;4.79;6;5;3;2;2;CCVC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
266;Buckel;buckel;1;584;584;6;6;1;1;1;CV;capital_letter;NO;YES;NO;B;b;N;Y;N;Y;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
267;guckt;kokt;3;2.030.000;178;5;4;-;-;-;-;multierror;NO;YES;NO;"g;u;c";k;"N;Y;N";N;"Y;N;N";N;"Y;Y;N";N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
268;guckt;kuckt;1;2.030.000;234;5;5;1;1;1;CV;substitution;NO;YES;NO;g;k;N;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
269;guckt;gockt;1;2.030.000;234;5;5;2;1;1;CV;substitution;NO;NO;NO;u;o;Y;N;N;N;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
270;guckt;gukt;1;2.030.000;11.6;5;4;3;2;2;CCVC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
271;Narbe;narbe;1;661;661;5;5;1;1;1;CVCCV;capital_letter;NO;YES;NO;N;n;N;Y;N;N;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
272;Kinn;kin;2;547;14.400.000;4;3;-;-;-;-;multierror;NO;YES;YES;"K;n";k;"N;Y";N;"N;N";N;"N;Y";N;"sound_distinction;sound_distinction";;;;;;;;;;;;;;;;;;;;;
